date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:29	231/231	---M--	200	added ('OK')	image/svg+xml	etag:%22d07c362d318f0c769e99533ae24992ab-ssl%22	https://machinebreak.com/assets/img/masks/avatar-group.svg	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/masks/avatar-group.svg	(from https://machinebreak.com/assets/css/theme.min.css)
20:03:30	264/264	---M--	200	added ('OK')	image/svg+xml	etag:%22aad0e0c1f942d28173119036054b91ef-ssl%22	https://machinebreak.com/assets/img/masks/avatar-group-hover.svg	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/masks/avatar-group-hover.svg	(from https://machinebreak.com/assets/css/theme.min.css)
20:03:31	0/-1	---M--	301	error ('')			https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.35.delayed	(from https://machinebreak.com/boissons-chaudes-snacks)
20:03:31	0/-1	---M--	301	error ('')			https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.36.delayed	(from https://machinebreak.com/boissons-chaudes-snacks)
20:03:31	231/231	---M--	200	added ('OK')	image/svg+xml	etag:%22fc6be9e18aed74bccdac72e29af5a228-ssl%22	https://machinebreak.com/assets/img/masks/avatar-group-hover-last.svg	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/masks/avatar-group-hover-last.svg	(from https://machinebreak.com/assets/css/theme.min.css)
20:03:33	278722/278722	---M--	200	added ('OK')	image/webp	etag:%22c52354f05f54a807ec6e933c78df1154-ssl%22	https://machinebreak.com/assets/img/covers/coffee-2.webp	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/covers/coffee-2.webp	(from https://machinebreak.com/boissons-chaudes-snacks)
20:03:34	819752/819752	---M--	200	added ('OK')	image/webp	etag:%226b45583ce0905394dd043295ff4ce03d-ssl%22	https://machinebreak.com/assets/img/covers/coffee-5.webp	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/covers/coffee-5.webp	(from https://machinebreak.com/boissons-chaudes-snacks)
20:03:35	228504/228504	---M--	200	added ('OK')	image/webp	etag:%22da61feedd0840f9ebfdba424c0382ed8-ssl%22	https://machinebreak.com/assets/img/covers/snack-4.webp	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/covers/snack-4.webp	(from https://machinebreak.com/boissons-chaudes-snacks)
20:03:36	194914/194914	---M--	200	added ('OK')	image/webp	etag:%224953e3f81ba42ddbee06ab4b363b6173-ssl%22	https://machinebreak.com/assets/img/covers/office-3.webp	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/covers/office-3.webp	(from https://machinebreak.com/boissons-chaudes-snacks)
20:03:37	39660/39660	---M--	200	added ('OK')	image/webp	etag:%22c7f4b2b472505b271991a7f2e8e43d52-ssl%22	https://machinebreak.com/assets/img/covers/coffee-6.webp	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/covers/coffee-6.webp	(from https://machinebreak.com/boissons-chaudes-snacks)
20:03:38	33708/33708	---M--	200	added ('OK')	image/webp	etag:%22c7f69a037eb0e341fb36e8ad63d781e1-ssl%22	https://machinebreak.com/assets/img/covers/iced-tea-2.webp	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/covers/iced-tea-2.webp	(from https://machinebreak.com/boissons-chaudes-snacks)
20:03:39	0/-1	---M--	301	error ('')			https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.3e.delayed	(from https://machinebreak.com/boissons-chaudes-snacks)
20:03:39	0/-1	---M--	301	error ('')			https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.3f.delayed	(from https://machinebreak.com/location-distributeurs-automatiques-boissons)
20:03:39	0/-1	---M--	301	error ('')			https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.40.delayed	(from https://machinebreak.com/location-distributeurs-automatiques-boissons)
20:03:40	64138/64138	---M--	200	added ('OK')	image/webp	etag:%22258de5fdfda6724efda7b72d99cb500b-ssl%22	https://machinebreak.com/assets/img/covers/snack-5.webp	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/covers/snack-5.webp	(from https://machinebreak.com/boissons-chaudes-snacks)
20:03:41	0/-1	---M--	301	error ('')			https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.42.delayed	(from https://machinebreak.com/location-distributeurs-automatiques-boissons)
20:03:41	0/-1	---M--	301	error ('')			https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.43.delayed	(from https://machinebreak.com/entreprise-location-distributeur-automatique-boisson)
20:03:41	0/-1	---M--	301	error ('')			https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.44.delayed	(from https://machinebreak.com/entreprise-location-distributeur-automatique-boisson)
20:03:41	0/-1	---M--	301	error ('')			https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.45.delayed	(from https://machinebreak.com/entreprise-location-distributeur-automatique-boisson)
